TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,CD_ELEMENTO_VOCE_COLL,TI_APPARTENENZA_COLL,TI_GESTIONE_COLL,CD_CDS,CD_NATURA,TI_ELEMENTO_VOCE,TI_ELEMENTO_VOCE_COLL,UTCR,UTUV,PG_VER_REC
"C","E","33009","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33010","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35004","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35005","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35006","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35007","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35009","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35010","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35011","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35012","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35013","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35014","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35015","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35016","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35017","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35018","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35019","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44004","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44005","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44006","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44007","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44009","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44010","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44011","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44012","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44013","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44014","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44015","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44016","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44017","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44018","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44019","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44020","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44021","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44022","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44023","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44024","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44025","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31017","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44026","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44027","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44028","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44029","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44030","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44031","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44032","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44033","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","51001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","51002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","51003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","52001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","53001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21060","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21061","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21062","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21063","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21064","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","63002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21065","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","63001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21004","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21005","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21006","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21007","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21009","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21010","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21011","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21012","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21013","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21014","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21015","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21016","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21017","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21018","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21019","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21020","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21021","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21022","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21023","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21024","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21025","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21026","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21027","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21028","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21029","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21030","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21031","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21032","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21033","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21034","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21035","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21036","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21037","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21038","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21039","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21040","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21041","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21042","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21043","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21044","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21045","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21046","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21047","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21048","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21049","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21051","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21052","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21053","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21054","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21055","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21056","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21057","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21058","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31004","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31005","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31006","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31007","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31009","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31010","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31011","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31012","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31013","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31014","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31015","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31016","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21066","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91004","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91005","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91006","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91007","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92009","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92010","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92011","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92012","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92013","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92014","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92015","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92016","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92017","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92018","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92019","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92020","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92021","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92022","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92023","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92024","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92025","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92026","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92027","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92028","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92029","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92030","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92031","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92032","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92033","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92034","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92035","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92036","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92037","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92038","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92039","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92040","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92041","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92042","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92043","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92044","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92045","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92046","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92047","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92048","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92049","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","21050","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44034","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44035","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","71001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91009","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91010","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91011","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91012","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91013","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92004","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92005","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92006","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92007","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"D","S","71001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31018","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31019","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31020","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31021","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31022","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31023","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31024","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33004","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33005","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33006","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33007","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
